id,Name,Paper,Water type,pH,Conductivity (uS),SO4 (mg/l),Cl (mg/l),K (mg/l),Na (mg/l),Ca (mg/l),Mg (mg/l),Concentration (mg/l),Particle size (nm),HD_0,HD_60,ksed (1/h)
1,Santa Barbara seawater,Keller,seawater,8.05,37400,3133,19333,377.8,10620,398,1361.4,10,27,477.51,1227.25,3.98E-01
2,artificial seawater,Keller,seawater,7.99,36300,2550,17667,339.8,9726,376,1225.4,10,27,477.51,1227.25,5.96E-02
3,artificial seawater,Keller,seawater,7.99,36300,2550,17667,339.8,9726,376,1225.4,50,27,909.19,1950.62,2.05E-01
4,artificial seawater,Keller,seawater,7.99,36300,2550,17667,339.8,9726,376,1225.4,100,27,886.48,1948.86,3.83E-01
5,artificial seawater,Keller,seawater,7.99,36300,2550,17667,339.8,9726,376,1225.4,200,27,886.48,1948.86,6.69E-01
6,Bodeg Bay seawater,Keller,seawater,8.08,39300,3167,19333,365.9,10010,378.4,1191,10,27,477.51,1227.25,3.98E-01
7,USCB lagoon,Keller,lagoon,8.9,23733,1400,1011,190.4,5031,213.1,581,10,27,492,416,2.03E-01
8,Santa Paula groundwater,Keller,groundwater,7.9,3997,1900,172.6,14.28,293.7,447.1,224.9,10,27,NA,NA,2.31E-01
9,Santa Clara river water,Keller,river water,8.33,4507,260,125.1,3.11,50.18,110.7,34.08,10,27,NA,NA,2.70E-01
10,estero effluent,Keller,treated effluent,7.68,2780,306.67,366.7,35.04,377.9,102.7,49.81,10,27,NA,NA,1.55E-02
11,mesocosm wastewater,Keller,mesocosm wastewater,7.07,206,33.7,46.7,6.41,31.94,8.13,3.57,10,27,NA,NA,1.24E-02
12,storm runoff,Keller,storm runoff,7.09,591,110,116.7,17.7,36.33,46.78,13.03,10,27,NA,NA,3.16E-03
13,mesocosm freshwater,Keller,mesocosm freshwater,8.38,372,56.7,103.3,22.28,55.81,17.66,11.37,10,27,313.06,314.54,5.73E-03
14,mesocosm freshwater,Keller,mesocosm freshwater,8.38,372,56.7,103.3,22.28,55.81,17.66,11.37,50,27,330.86,336.8,5.73E-03
15,mesocosm freshwater,Keller,mesocosm freshwater,8.38,372,56.7,103.3,22.28,55.81,17.66,11.37,100,27,311.57,314.54,5.73E-03
16,mesocosm freshwater,Keller,mesocosm freshwater,8.38,372,56.7,103.3,22.28,55.81,17.66,11.37,200,27,311.57,314.54,5.73E-03
